City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
169,juan griego,11.0817,-63.9655,25.38,84,7.3,7.3,VE,1740527637
170,greymouth,-42.4667,171.2,17.09,59,3.28,3.28,NZ,1740527638
171,la ronge,55.1001,-105.2842,-0.88,74,3.09,3.09,CA,1740527639
172,yamada,39.4667,141.95,4.88,73,5.89,5.89,JP,1740527640
173,veraval,20.9,70.3667,23.64,55,3.08,3.08,IN,1740527641
174,onega,63.9061,38.1404,-8.66,94,2.33,2.33,RU,1740527642
175,plavinas,56.6178,25.7255,-3.02,93,1.79,1.79,LV,1740527644
176,salinopolis,-0.6136,-47.3561,25.64,83,5.12,5.12,BR,1740527645
177,valparaiso,-33.0393,-71.6273,21.37,39,3.6,3.6,CL,1740527578
178,homer,59.6425,-151.5483,6.54,75,2.57,2.57,US,1740527353
179,papatowai,-46.5619,169.4708,16.58,61,6.5,6.5,NZ,1740527648
180,cameron,26.117,-97.5169,22.98,76,7.72,7.72,US,1740527649
181,uglich,57.5275,38.3317,-9.79,90,1.51,1.51,RU,1740527650
182,sao gabriel da cachoeira,-0.1303,-67.0892,23.84,97,0.93,0.93,BR,1740527651
183,sussex,41.1834,-74.6663,7.97,75,0.45,0.45,US,1740527464
184,crane,31.3974,-102.3501,25.41,16,0.71,0.71,US,1740527653
185,lorengau,-2.0226,147.2712,24.94,91,4.22,4.22,PG,1740527655
186,okhotsk,59.3833,143.3,-23.84,86,4.57,4.57,RU,1740527656
187,geneina,13.45,22.45,23.54,18,2.94,2.94,SD,1740527657
188,luderitz,-26.6481,15.1594,16.26,89,5.39,5.39,NA,1740527658
189,meulaboh,4.1363,96.1285,24.72,90,1.9,1.9,ID,1740527659
190,jeypore,18.85,82.5833,17.73,79,1.94,1.94,IN,1740527660
191,lihue,21.9789,-159.3672,27.08,69,5.66,5.66,US,1740527661
192,bathsheba,13.2167,-59.5167,26.34,78,7.72,7.72,BB,1740527662
193,manacapuru,-3.2997,-60.6206,25.18,92,1.92,1.92,BR,1740527665
194,oroqen zizhiqi,50.5667,123.7167,-14.51,89,0.92,0.92,CN,1740527666
195,shchigry,51.8755,36.9043,-8.17,96,1.55,1.55,RU,1740527491
196,al badari,26.9926,31.4155,12.75,28,2.4,2.4,EG,1740527668
197,howrah,22.5892,88.3103,21.0,78,1.54,1.54,IN,1740527669
198,arraial do cabo,-22.9661,-42.0278,24.89,89,7.67,7.67,BR,1740527670
199,rongelap,11.1635,166.8941,26.9,80,7.56,7.56,MH,1740527671
200,alotau,-10.3069,150.4462,30.22,60,3.23,3.23,PG,1740527674
201,rio grande,-32.035,-52.0986,26.69,80,5.54,5.54,BR,1740527675
202,tsiombe,-25.3,45.4833,23.36,95,3.48,3.48,MG,1740527677
203,camana,-16.6228,-72.7111,23.18,89,0.45,0.45,PE,1740527678
204,tandil,-37.3217,-59.1332,23.31,48,5.59,5.59,AR,1740527508
205,monte santo,-10.4378,-39.3328,25.04,60,4.66,4.66,BR,1740527680
206,samsat,37.5819,38.4742,-1.07,47,1.7,1.7,TR,1740527681
207,labytnangi,66.6572,66.4183,-6.68,92,3.17,3.17,RU,1740527682
208,al hoceima,35.2433,-3.9309,16.57,67,3.09,3.09,MA,1740527683
209,mejit,10.2753,170.8646,27.32,81,8.24,8.24,MH,1740527684
210,ta`u,-14.2336,-169.5144,28.07,78,6.83,6.83,AS,1740527692
211,dunlap,41.6378,-85.9217,5.99,68,0.0,0.0,US,1740527693
212,obock,12.25,43.0833,18.69,91,3.95,3.95,DJ,1740527695
213,toliara,-23.35,43.6667,25.84,77,5.76,5.76,MG,1740527696
214,teshi old town,5.5836,-0.1072,28.31,89,4.12,4.12,GH,1740527698
215,genhe,50.7833,121.5167,-17.54,97,0.95,0.95,CN,1740527699
216,olinda,-8.0089,-34.8553,27.85,74,3.6,3.6,BR,1740527700
217,quelimane,-17.8786,36.8883,26.97,94,3.09,3.09,MZ,1740527701
218,terra santa,-2.1042,-56.4869,24.15,96,1.6,1.6,BR,1740527702
219,i-n-salah,27.1935,2.4607,14.57,26,4.74,4.74,DZ,1740527703
220,nchelenge,-9.3451,28.734,20.5,92,2.74,2.74,ZM,1740527704
221,badger,64.8,-147.5333,-8.26,60,0.0,0.0,US,1740527705
222,cruz alta,-28.6386,-53.6064,27.89,45,4.61,4.61,BR,1740527707
223,kaga bandoro,6.9896,19.1874,25.7,27,1.27,1.27,CF,1740527708
224,touros,-5.1989,-35.4608,26.8,75,4.78,4.78,BR,1740527709
225,borodulikha,50.7184,80.9295,-12.15,88,2.53,2.53,KZ,1740527710
226,lichuan,30.3,108.85,1.43,88,0.22,0.22,CN,1740527711
227,stanley,54.868,-1.6985,2.01,91,1.54,1.54,GB,1740527712
228,pangody,65.85,74.4859,-14.05,95,6.97,6.97,RU,1740527713
229,island harbour,50.724,-1.2758,4.0,89,0.89,0.89,GB,1740527714
230,taoudenni,22.6783,-3.9836,17.55,24,5.69,5.69,ML,1740527715
231,kerikeri,-35.2268,173.9474,23.92,50,3.01,3.01,NZ,1740527717
232,suntar,62.1444,117.6319,-15.28,98,1.52,1.52,RU,1740527718
233,zouerate,22.7187,-12.4521,17.85,21,4.65,4.65,MR,1740527720
234,holualoa,19.6228,-155.9522,25.46,72,6.17,6.17,US,1740527660
235,palmer,42.1584,-72.3287,5.53,68,0.0,0.0,US,1740527722
236,nova sintra,14.8667,-24.7167,22.94,69,6.15,6.15,CV,1740527723
237,hede,33.7681,120.2517,5.68,70,1.81,1.81,CN,1740527724
238,mana,5.6592,-53.7767,24.7,83,4.39,4.39,GF,1740527725
239,guatrache,-37.6678,-63.5302,28.18,32,1.54,1.54,AR,1740527726
240,fort bragg,35.139,-79.006,17.73,43,0.0,0.0,US,1740527728
241,glace bay,46.1969,-59.957,3.31,78,2.68,2.68,CA,1740527729
242,saldanha,-33.0117,17.9442,17.78,82,4.29,4.29,ZA,1740527730
243,uturoa,-16.7333,-151.4333,28.41,73,6.57,6.57,PF,1740527732
244,taltal,-25.4,-70.4833,20.42,82,0.93,0.93,CL,1740527737
245,mil'kovo,55.6078,37.7956,-5.92,90,1.21,1.21,RU,1740527738
246,caconda,-13.7333,15.0667,16.36,56,1.87,1.87,AO,1740527739
247,umluj,25.0213,37.2685,19.06,43,7.28,7.28,SA,1740527740
248,peace river,56.2501,-117.286,0.17,74,1.54,1.54,CA,1740527741
249,ancud,-41.8697,-73.8203,13.67,86,2.53,2.53,CL,1740527742
250,canutama,-6.5339,-64.3831,25.73,87,1.57,1.57,BR,1740527743
251,qaqortoq,60.7167,-46.0333,-2.68,90,4.76,4.76,GL,1740527745
252,colonia,50.9333,6.95,8.36,93,1.03,1.03,DE,1740527746
253,tchibanga,-2.85,11.0333,22.67,95,0.41,0.41,GA,1740527747
254,puerto armuelles,8.2833,-82.8667,27.83,63,0.45,0.45,PA,1740527748
255,north bend,43.4065,-124.2243,15.13,71,3.6,3.6,US,1740527731
256,konibodom,40.2843,70.4426,3.87,67,16.32,16.32,TJ,1740527750
257,praia da vitoria,38.7333,-27.0667,16.14,88,6.33,6.33,PT,1740527751
258,tena,-0.9833,-77.8167,22.26,97,0.45,0.45,EC,1740527752
259,brush,40.2589,-103.6238,17.57,23,9.77,9.77,US,1740527754
260,luis correia,-2.8792,-41.6669,25.85,83,3.62,3.62,BR,1740527755
261,garoowe,8.4054,48.4845,20.26,71,4.77,4.77,SO,1740527758
262,opochka,56.7105,28.6617,-5.25,89,2.24,2.24,RU,1740527760
263,alice springs,-23.7,133.8833,33.75,15,5.66,5.66,AU,1740527761
264,masuguru,-11.3667,38.4167,22.28,94,1.95,1.95,TZ,1740527762
265,anshun,26.25,105.9333,3.41,88,1.4,1.4,CN,1740527763
266,barrouallie,13.2333,-61.2667,24.79,83,3.09,3.09,VC,1740527764
267,kapuskasing,49.4169,-82.4331,-8.95,62,1.03,1.03,CA,1740527765
268,rosarito,32.3333,-117.0333,29.51,56,3.93,3.93,MX,1740527757
269,coatesville,39.9832,-75.8238,10.24,62,0.45,0.45,US,1740527575
270,badagry,6.4167,2.8833,27.19,87,4.48,4.48,NG,1740527771
271,maqat,47.65,53.3167,-12.76,97,3.15,3.15,KZ,1740527773
272,ust-nera,64.5667,143.2,-32.97,96,0.93,0.93,RU,1740527774
273,sola,-13.8833,167.55,26.77,85,10.38,10.38,VU,1740527775
274,nikolayevsk-on-amure,53.1406,140.73,-13.47,95,1.64,1.64,RU,1740527777
275,clovis,36.8252,-119.7029,17.8,65,0.0,0.0,US,1740527620
276,coahuayana de hidalgo,18.7,-103.6583,27.63,69,2.99,2.99,MX,1740527780
277,mont-dore,-22.2833,166.5833,28.9,67,7.15,7.15,NC,1740527781
278,mao,39.8885,4.2658,12.31,66,8.75,8.75,ES,1740527783
279,ad dilam,23.9915,47.1627,8.97,22,3.08,3.08,SA,1740527784
280,linxia chengguanzhen,35.6003,103.2064,-4.29,55,1.04,1.04,CN,1740527785
281,sur,22.5667,59.5289,22.68,86,4.63,4.63,OM,1740527786
282,siwa oasis,29.2041,25.5195,12.78,40,2.68,2.68,EG,1740527787
283,safotu,-13.4513,-172.4018,27.93,85,7.58,7.58,WS,1740527788
284,nago,26.5881,127.9761,15.36,60,0.88,0.88,JP,1740527789
285,aras-asan,8.8908,126.3033,25.69,87,5.25,5.25,PH,1740527790
286,wangqing,43.3218,129.7634,-8.29,44,4.98,4.98,CN,1740527791
287,emerald,-23.5333,148.1667,27.77,56,6.7,6.7,AU,1740527792
288,buka,40.8108,69.1986,0.66,100,3.31,3.31,UZ,1740527793
289,alesund,62.4723,6.1549,6.29,80,7.2,7.2,NO,1740527795
290,priargunsk,50.3691,119.1012,-19.91,96,2.06,2.06,RU,1740527796
291,prairie grove,35.9759,-94.3177,24.01,27,5.66,5.66,US,1740527797
292,santana,-0.0583,-51.1817,27.1,78,3.6,3.6,BR,1740527798
293,broome,42.2506,-75.833,4.23,95,2.57,2.57,US,1740527799
294,san lawrenz,36.0553,14.204,13.81,87,5.33,5.33,MT,1740527800
295,dudinka,69.4058,86.1778,-28.32,81,10.12,10.12,RU,1740527801
296,jayapura,-2.5333,140.7,25.66,66,1.66,1.66,ID,1740527802
297,neuenrade,51.2833,7.7833,7.15,87,0.44,0.44,DE,1740527803
298,thunder bay,48.4001,-89.3168,-0.01,93,1.54,1.54,CA,1740527513
299,babu,24.4167,111.5167,11.15,85,1.12,1.12,CN,1740527805
300,kingscliff,-28.2667,153.5667,27.89,61,7.2,7.2,AU,1740527807
301,ibiza,38.9088,1.433,11.07,88,2.06,2.06,ES,1740527810
302,daru,-9.0763,143.2092,24.27,94,4.31,4.31,PG,1740527811
303,harrismith,-28.2728,29.1295,15.75,93,4.68,4.68,ZA,1740527812
304,turuntayevo,52.2,107.6167,-13.85,94,0.73,0.73,RU,1740527813
305,antonio enes,-16.2325,39.9086,25.79,84,5.43,5.43,MZ,1740527814
306,lerwick,60.1545,-1.1494,6.4,80,6.6,6.6,GB,1740527820
307,baruun-urt,46.6806,113.2792,-12.64,65,4.99,4.99,MN,1740527821
308,ulanhot,46.0833,122.0833,-7.22,44,5.83,5.83,CN,1740527822
309,qamdo,31.1667,97.2333,-10.56,58,1.68,1.68,CN,1740527824
310,durant,33.994,-96.3708,23.09,38,5.66,5.66,US,1740527825
311,antsiranana,-12.2787,49.2917,25.19,86,3.22,3.22,MG,1740527826
312,sodankyla,67.4167,26.6,0.44,98,2.82,2.82,FI,1740527828
313,funafuti,-8.5243,179.1942,30.0,70,5.14,5.14,TV,1740527829
314,kushiro,42.975,144.3747,2.53,93,4.63,4.63,JP,1740527830
315,trebon,49.0036,14.7707,3.65,95,1.66,1.66,CZ,1740527831
316,karamay,45.6004,84.8661,-9.26,71,1.36,1.36,CN,1740527832
317,remire-montjoly,4.9167,-52.2667,26.02,83,1.54,1.54,GF,1740527833
318,suphan buri,14.4742,100.1222,20.91,83,4.54,4.54,TH,1740527834
319,paracuru,-3.41,-39.0306,25.91,83,2.73,2.73,BR,1740527835
320,mount pleasant,32.7941,-79.8626,16.11,72,2.57,2.57,US,1740527704
321,abqaiq,25.9371,49.6776,8.39,18,5.89,5.89,SA,1740527838
322,urangan,-25.3,152.9,26.13,64,10.67,10.67,AU,1740527839
323,kill devil hills,36.0307,-75.676,12.01,69,0.0,0.0,US,1740527840
324,mata-utu,-13.2816,-176.1745,28.38,77,6.86,6.86,WF,1740527841
325,al ghayzah,16.2079,52.176,21.08,82,2.91,2.91,YE,1740527842
326,shubarshi,48.5872,57.1869,-18.17,100,3.02,3.02,KZ,1740527843
327,malvan,16.0667,73.4667,24.59,43,2.35,2.35,IN,1740527845
328,beloha,-25.1667,45.05,22.99,94,3.58,3.58,MG,1740527846
329,huilong,31.8111,121.655,6.34,72,1.62,1.62,CN,1740527848
330,kindu,-2.95,25.95,20.44,99,0.99,0.99,CD,1740527850
331,antofagasta,-23.65,-70.4,21.6,76,1.67,1.67,CL,1740527852
332,kavaratti,10.5669,72.642,27.71,70,3.23,3.23,IN,1740527853
333,illizi,26.4833,8.4667,11.47,37,2.05,2.05,DZ,1740527854
334,tiruchchendur,8.4833,78.1167,24.87,79,6.88,6.88,IN,1740527855
335,vilyuysk,63.7553,121.6247,-18.36,98,2.23,2.23,RU,1740527857
336,capilla del monte,-30.8609,-64.5251,23.94,68,4.07,4.07,AR,1740527858
337,slatina,44.4333,24.3667,-1.48,91,1.89,1.89,RO,1740527861
338,webster,42.0501,-71.8801,6.4,74,2.06,2.06,US,1740527651
339,prince rupert,54.3161,-130.3201,8.05,81,10.8,10.8,CA,1740527863
340,bumba,2.1833,22.4667,23.44,79,1.4,1.4,CD,1740527864
341,pizarro,4.9533,-77.366,26.01,86,0.34,0.34,CO,1740527865
342,lycksele,64.5954,18.6735,0.93,100,1.03,1.03,SE,1740527866
343,newman,37.3138,-121.0208,20.02,50,4.02,4.02,US,1740527867
